#,Name,Pattern,Type,Date Started,Date Finished,Colors,Length,How many strings?,Where is it going?
17,Mystery bracelet 2,https://www.braceletbook.com/patterns/normal/144205/,Normal,2/20/2023,3/2/2023,5,Bracelet,24,Keeping
18,Smaller mermaid,https://www.braceletbook.com/patterns/alpha/67837/,Alpha,3/6/2023,3/7/2023,5,Wallhanging,30,Gave away
19,Green starburst,https://www.braceletbook.com/patterns/normal/25054/,Normal,3/2/2023,3/9/2023,6,Bracelet,34,Keeping
20,Purple and pink candystripe x's,https://www.braceletbook.com/patterns/normal/90561/,Normal,3/9/2023,3/10/2023,5,Bracelet,18,Keeping
21,Purple and green clover,https://www.braceletbook.com/patterns/normal/32261/,Normal,3/30/2023,3/31/2023,4,Bracelet,20,Selling
22,Brown outline pink crosses,https://www.braceletbook.com/patterns/normal/25955/,Normal,4/1/2023,4/2/2023,5,Bracelet,30,Keeping
23,Purple galaxy daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,4/9/2023,4/9/2023,3,Bracelet,6,Gave away
24,Purple galaxy daisy chain,https://www.braceletbook.com/patterns/normal/76616/,Normal,4/9/2023,4/9/2023,3,Bracelet,6,Gave away
25,Mandala flower keychain- pink and blue,https://www.braceletbook.com/patterns/normal/70/,Normal,4/9/2023,4/11/2023,14,Keychain,84,Keeping
26,Pink outline crosses,https://www.braceletbook.com/patterns/normal/39181/,Normal,4/12/2023,4/12/2023,3,Bracelet,18,Selling
27,Black daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,4/13/2023,4/14/2023,1,Bracelet,6,Sold
28,Red daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,4/14/2023,4/15/2023,3,Bracelet,6,Sold
29,Grey and Blue diamonds,https://www.braceletbook.com/patterns/normal/122604/,Normal,5/4/2023,5/5/2023,8,Bracelet,20,Selling
30,"""Diva""",,Alpha,5/12/2023,5/12/2023,2,Keychain,11,Sold
31,Red TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/14/2023,5/14/2023,3,Bracelet,6,Gave away
32,Debut TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/14/2023,5/14/2023,3,Bracelet,6,Gave away
33,Debut TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/14/2023,5/14/2023,3,Bracelet,6,Gave away
34,Speak Now TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/14/2023,5/14/2023,3,Bracelet,6,Gave away
35,Speak Now TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/14/2023,5/14/2023,3,Bracelet,6,Gave away
36,Fearless TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/15/2023,5/15/2023,3,Bracelet,6,Gave away
37,Fearless TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/15/2023,5/15/2023,3,Bracelet,6,Gave away
38,1989 TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/15/2023,5/16/2023,3,Bracelet,6,Gave away
39,Reputation TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/16/2023,5/16/2023,3,Bracelet,6,Gave away
40,Fearless TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/16/2023,5/17/2023,3,Bracelet,6,Gave away
41,Midnights TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/16/2023,5/17/2023,3,Bracelet,6,Gave away
42,Midnights TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/17/2023,5/17/2023,3,Bracelet,6,Gave away
43,Evermore TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/17/2023,5/17/2023,3,Bracelet,6,Gave away
44,Evermore TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/17/2023,5/17/2023,3,Bracelet,6,Gave away
45,Reputation TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/17/2023,5/17/2023,3,Bracelet,6,Gave away
46,Red TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/17/2023,5/18/2023,3,Bracelet,6,Gave away
47,Folklore TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/18/2023,5/18/2023,3,Bracelet,6,Gave away
48,Folklore TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/18/2023,5/18/2023,3,Bracelet,6,Gave away
49,Folklore TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/18/2023,5/18/2023,3,Bracelet,6,Gave away
50,1989 TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/18/2023,5/18/2023,3,Bracelet,6,Gave away
51,Red TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/18/2023,5/18/2023,3,Bracelet,6,Gave away
52,Debut TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/19/2023,5/19/2023,3,Bracelet,6,Gave away
53,Speak Now TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/19/2023,5/19/2023,3,Bracelet,6,Gave away
54,Speak Now TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/19/2023,5/19/2023,3,Bracelet,6,Gave away
55,Speak Now TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/19/2023,5/19/2023,3,Bracelet,6,Gave away
56,1989 TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/19/2023,5/19/2023,3,Bracelet,6,Gave away
57,Reputation TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/19/2023,5/19/2023,3,Bracelet,6,Gave away
58,Evermore TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/19/2023,5/19/2023,3,Bracelet,6,Gave away
59,Reputation TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/19/2023,5/20/2023,3,Bracelet,6,Gave away
60,Midnights TS daisychain,https://www.braceletbook.com/patterns/normal/76616/,Normal,5/20/2023,5/20/2023,3,Bracelet,6,Gave away
61,Red Outline Puzzle Pieces,https://www.braceletbook.com/patterns/normal/104900/,Normal,5/23/2023,6/2/2023,2,Belt,32,Keeping
62,Pastel rainbow road,https://www.braceletbook.com/patterns/normal/37618/,Normal,6/5/2023,6/5/2023,7,Bracelet,16,Sold
